County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
Herkimer,Herkimer Vg PD,2013,12.0,432.0,53.0,0.0,9.0,3.0,41.0,379.0,49.0,330.0,0.0,Non-New York City
Herkimer,Ilion Vg PD,2013,12.0,143.0,15.0,0.0,1.0,2.0,12.0,128.0,21.0,106.0,1.0,Non-New York City
Herkimer,Little Falls City PD,2013,12.0,146.0,16.0,0.0,3.0,1.0,12.0,130.0,18.0,111.0,1.0,Non-New York City
Jefferson,Adams Vg PD,2013,12.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,10.0,0.0,Non-New York City
Jefferson,Alexandria Bay Vg PD,2013,12.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,10.0,1.0,Non-New York City
Jefferson,Black River Vg PD,2013,12.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,12.0,0.0,Non-New York City
Jefferson,Brownville Vg PD,2013,12.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,Non-New York City
Jefferson,Cape Vincent Vg PD,2013,12.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,Non-New York City
Jefferson,Carthage Vg PD,2013,12.0,61.0,1.0,0.0,1.0,0.0,0.0,60.0,12.0,47.0,1.0,Non-New York City
Jefferson,Clayton Vg PD,2013,12.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,16.0,0.0,Non-New York City
Jefferson,County Total,2013,,2402.0,140.0,1.0,16.0,16.0,107.0,2262.0,339.0,1843.0,80.0,Non-New York City
Jefferson,Dexter Vg PD,2013,12.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,6.0,0.0,Non-New York City
Jefferson,Glen Park Vg PD,2013,12.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,Non-New York City
Jefferson,Jefferson County Park PD,2013,12.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,15.0,0.0,Non-New York City
Jefferson,Jefferson County Sheriff,2013,12.0,226.0,11.0,0.0,1.0,0.0,10.0,215.0,21.0,191.0,3.0,Non-New York City
Jefferson,Jefferson County State Police,2013,12.0,733.0,17.0,0.0,1.0,0.0,16.0,716.0,122.0,562.0,32.0,Non-New York City
Jefferson,Watertown City PD,2013,12.0,1281.0,111.0,1.0,13.0,16.0,81.0,1170.0,170.0,957.0,43.0,Non-New York City
Kings,County Total,2013,12.0,59056.0,18258.0,147.0,401.0,6854.0,10856.0,40798.0,5635.0,32557.0,2606.0,New York City
Lewis,County Total,2013,,332.0,24.0,1.0,1.0,0.0,22.0,308.0,95.0,199.0,14.0,Non-New York City
Lewis,Lewis County Park PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
Lewis,Lewis County Sheriff,2013,12.0,154.0,15.0,1.0,0.0,0.0,14.0,139.0,50.0,85.0,4.0,Non-New York City
Lewis,Lewis County State Police,2013,12.0,117.0,7.0,0.0,1.0,0.0,6.0,110.0,38.0,66.0,6.0,Non-New York City
Lewis,Lowville Vg PD,2013,12.0,60.0,2.0,0.0,0.0,0.0,2.0,58.0,7.0,47.0,4.0,Non-New York City
Livingston,Avon Vg PD,2013,12.0,26.0,1.0,0.0,0.0,1.0,0.0,25.0,3.0,20.0,2.0,Non-New York City
Livingston,Caledonia Vg PD,2013,12.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,Non-New York City
Livingston,County Total,2013,,1088.0,56.0,0.0,16.0,9.0,31.0,1032.0,185.0,814.0,33.0,Non-New York City
Livingston,Dansville Vg PD,2013,12.0,154.0,2.0,0.0,0.0,1.0,1.0,152.0,24.0,120.0,8.0,Non-New York City
Livingston,Geneseo Vg PD,2013,12.0,168.0,6.0,0.0,3.0,3.0,0.0,162.0,7.0,155.0,0.0,Non-New York City
Livingston,Livingston County Park PD,2013,12.0,13.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,12.0,0.0,Non-New York City
Livingston,Livingston County Sheriff,2013,12.0,469.0,25.0,0.0,5.0,2.0,18.0,444.0,116.0,310.0,18.0,Non-New York City
Livingston,Livingston County State Police,2013,12.0,65.0,13.0,0.0,3.0,1.0,9.0,52.0,12.0,36.0,4.0,Non-New York City
Livingston,Mount Morris Vg PD,2013,12.0,76.0,2.0,0.0,0.0,1.0,1.0,74.0,10.0,63.0,1.0,Non-New York City
Livingston,Nunda Town and Vg PD,2013,12.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,13.0,0.0,Non-New York City
Livingston,SUNY Police - Geneseo,2013,12.0,95.0,6.0,0.0,5.0,0.0,1.0,89.0,9.0,80.0,0.0,Non-New York City
Madison,Canastota Vg PD,2013,12.0,64.0,4.0,0.0,0.0,0.0,4.0,60.0,8.0,51.0,1.0,Non-New York City
Madison,Cazenovia Vg PD,2013,12.0,58.0,0.0,0.0,0.0,0.0,0.0,58.0,5.0,52.0,1.0,Non-New York City
Madison,Chittenango Vg PD,2013,12.0,66.0,1.0,0.0,0.0,0.0,1.0,65.0,11.0,53.0,1.0,Non-New York City
Madison,County Total,2013,,1156.0,55.0,1.0,9.0,7.0,38.0,1101.0,210.0,868.0,23.0,Non-New York City
Madison,Hamilton Vg PD,2013,12.0,34.0,4.0,0.0,0.0,1.0,3.0,30.0,2.0,28.0,0.0,Non-New York City
Madison,Madison County Park PD,2013,12.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,Non-New York City
Madison,Madison County Sheriff,2013,12.0,217.0,10.0,0.0,1.0,0.0,9.0,207.0,58.0,145.0,4.0,Non-New York City
Madison,Madison County State Police,2013,12.0,192.0,14.0,1.0,5.0,0.0,8.0,178.0,48.0,123.0,7.0,Non-New York City
Madison,Oneida City PD,2013,12.0,452.0,18.0,0.0,2.0,4.0,12.0,434.0,68.0,357.0,9.0,Non-New York City
Madison,SUNY Police - Morrisville,2013,12.0,69.0,4.0,0.0,1.0,2.0,1.0,65.0,10.0,55.0,0.0,Non-New York City
Monroe,Brighton Town PD,2013,12.0,822.0,27.0,1.0,2.0,10.0,14.0,795.0,143.0,624.0,28.0,Non-New York City
Monroe,Brockport Vg PD,2013,12.0,190.0,23.0,1.0,1.0,5.0,16.0,167.0,29.0,134.0,4.0,Non-New York City
Monroe,County Total,2013,,23076.0,2686.0,48.0,144.0,1133.0,1361.0,20390.0,4267.0,15236.0,887.0,Non-New York City
Monroe,East Rochester Vg PD,2013,12.0,133.0,8.0,1.0,0.0,3.0,4.0,125.0,25.0,97.0,3.0,Non-New York City
Monroe,Fairport Vg PD,2013,12.0,58.0,5.0,0.0,1.0,0.0,4.0,53.0,13.0,37.0,3.0,Non-New York City
Monroe,Gates Town PD,2013,12.0,1108.0,57.0,0.0,4.0,19.0,34.0,1051.0,95.0,922.0,34.0,Non-New York City
Monroe,Greece Town PD,2013,12.0,2457.0,151.0,0.0,9.0,60.0,82.0,2306.0,332.0,1928.0,46.0,Non-New York City
Monroe,Irondequoit Town PD,2013,12.0,1447.0,93.0,1.0,6.0,51.0,35.0,1354.0,271.0,1049.0,34.0,Non-New York City
Monroe,Monroe County Park PD,2013,12.0,21.0,1.0,0.0,1.0,0.0,0.0,20.0,1.0,19.0,0.0,Non-New York City
Monroe,Monroe County Sheriff,2013,12.0,3774.0,162.0,2.0,16.0,56.0,88.0,3612.0,636.0,2876.0,100.0,Non-New York City
Monroe,Monroe County State Police,2013,12.0,82.0,7.0,0.0,6.0,1.0,0.0,75.0,1.0,66.0,8.0,Non-New York City
Monroe,Ogden Town PD,2013,12.0,225.0,17.0,0.0,2.0,6.0,9.0,208.0,24.0,176.0,8.0,Non-New York City
Monroe,Rochester City PD,2013,12.0,12160.0,2109.0,42.0,94.0,918.0,1055.0,10051.0,2587.0,6855.0,609.0,Non-New York City
Monroe,SUNY Police - Brockport,2013,12.0,108.0,5.0,0.0,0.0,1.0,4.0,103.0,9.0,91.0,3.0,Non-New York City
Monroe,Webster Town and Vg PD,2013,12.0,491.0,21.0,0.0,2.0,3.0,16.0,470.0,101.0,362.0,7.0,Non-New York City
Montgomery,Amsterdam City PD,2013,12.0,435.0,30.0,0.0,0.0,12.0,18.0,405.0,99.0,291.0,15.0,Non-New York City
Montgomery,Canajoharie Vg PD,2013,12.0,15.0,1.0,0.0,0.0,0.0,1.0,14.0,1.0,13.0,0.0,Non-New York City
Montgomery,County Total,2013,,1125.0,48.0,0.0,4.0,13.0,31.0,1077.0,186.0,864.0,27.0,Non-New York City
Montgomery,Fort Plain Vg PD,2013,12.0,94.0,4.0,0.0,0.0,1.0,3.0,90.0,23.0,65.0,2.0,Non-New York City
Montgomery,Montgomery County Park PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
Montgomery,Montgomery County Sheriff,2013,12.0,424.0,6.0,0.0,0.0,0.0,6.0,418.0,37.0,377.0,4.0,Non-New York City
Montgomery,Montgomery County State Police,2013,12.0,106.0,4.0,0.0,4.0,0.0,0.0,102.0,18.0,78.0,6.0,Non-New York City
Montgomery,St Johnsville Vg PD,2013,12.0,50.0,3.0,0.0,0.0,0.0,3.0,47.0,8.0,39.0,0.0,Non-New York City
Nassau,Centre Island Vg PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
Nassau,County Total,2013,,18683.0,2111.0,25.0,54.0,1043.0,989.0,16572.0,2355.0,13328.0,889.0,Non-New York City
Nassau,Floral Park Vg PD,2013,12.0,86.0,14.0,0.0,2.0,7.0,5.0,72.0,16.0,44.0,12.0,Non-New York City
Nassau,Freeport Vg PD,2013,12.0,1085.0,152.0,0.0,2.0,76.0,74.0,933.0,168.0,698.0,67.0,Non-New York City
Nassau,Garden City Vg PD,2013,12.0,356.0,10.0,0.0,0.0,4.0,6.0,346.0,33.0,303.0,10.0,Non-New York City
Nassau,Glen Cove City PD,2013,12.0,98.0,8.0,0.0,0.0,4.0,4.0,90.0,25.0,62.0,3.0,Non-New York City
Nassau,Great Neck Estates Vg PD,2013,12.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,6.0,12.0,2.0,Non-New York City
Nassau,Hempstead Vg PD,2013,12.0,1391.0,433.0,10.0,3.0,204.0,216.0,958.0,206.0,630.0,122.0,Non-New York City
Nassau,Kensington Vg PD,2013,11.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,Non-New York City
Nassau,Kings Point Vg PD,2013,12.0,17.0,1.0,0.0,0.0,0.0,1.0,16.0,4.0,11.0,1.0,Non-New York City
Nassau,Lake Success Vg PD,2013,12.0,34.0,2.0,0.0,0.0,0.0,2.0,32.0,10.0,21.0,1.0,Non-New York City
Nassau,Long Beach City PD,2013,12.0,373.0,35.0,0.0,1.0,13.0,21.0,338.0,42.0,278.0,18.0,Non-New York City
Nassau,Lynbrook Vg PD,2013,12.0,175.0,12.0,0.0,1.0,3.0,8.0,163.0,18.0,128.0,17.0,Non-New York City
Nassau,Malverne Vg PD,2013,12.0,25.0,4.0,0.0,0.0,3.0,1.0,21.0,3.0,17.0,1.0,Non-New York City
Nassau,Nassau County MTA,2013,12.0,86.0,11.0,1.0,0.0,8.0,2.0,75.0,1.0,74.0,0.0,Non-New York City
Nassau,Nassau County Park PD,2013,12.0,62.0,5.0,0.0,1.0,2.0,2.0,57.0,3.0,52.0,2.0,Non-New York City
Nassau,Nassau County PD,2013,12.0,14283.0,1394.0,12.0,43.0,706.0,633.0,12889.0,1737.0,10558.0,594.0,Non-New York City
Nassau,Nassau County State Police,2013,12.0,6.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,4.0,1.0,Non-New York City
Nassau,Old Brookville Vg PD,2013,12.0,58.0,4.0,0.0,0.0,1.0,3.0,54.0,16.0,28.0,10.0,Non-New York City
Nassau,Old Westbury Vg PD,2013,12.0,40.0,1.0,0.0,0.0,0.0,1.0,39.0,6.0,29.0,4.0,Non-New York City
Nassau,Oyster Bay Cove Vg PD,2013,12.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,16.0,0.0,Non-New York City
Nassau,Port Washington Police District,2013,12.0,100.0,2.0,0.0,0.0,1.0,1.0,98.0,13.0,81.0,4.0,Non-New York City
Nassau,Rockville Centre Vg PD,2013,12.0,293.0,22.0,1.0,1.0,11.0,9.0,271.0,30.0,223.0,18.0,Non-New York City
Nassau,Sands Point Vg PD,2013,12.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,13.0,1.0,Non-New York City
Nassau,SUNY Police - Old Westbury,2013,12.0,54.0,0.0,0.0,0.0,0.0,0.0,54.0,8.0,45.0,1.0,Non-New York City
New York,County Total,2013,12.0,51872.0,8708.0,39.0,236.0,3340.0,5093.0,43164.0,2775.0,39647.0,742.0,New York City
Niagara,County Total,2013,,6655.0,798.0,4.0,37.0,240.0,517.0,5857.0,1312.0,4323.0,222.0,Non-New York City
Niagara,Lewiston Town PD,2013,12.0,146.0,12.0,0.0,0.0,1.0,11.0,134.0,30.0,96.0,8.0,Non-New York City
Niagara,Lockport City PD,2013,12.0,723.0,70.0,0.0,6.0,24.0,40.0,653.0,120.0,527.0,6.0,Non-New York City
Niagara,Middleport Vg PD,2013,12.0,21.0,2.0,0.0,0.0,0.0,2.0,19.0,1.0,16.0,2.0,Non-New York City
Niagara,Niagara County Park PD,2013,12.0,60.0,2.0,0.0,0.0,2.0,0.0,58.0,1.0,56.0,1.0,Non-New York City
Niagara,Niagara County Sheriff,2013,12.0,966.0,61.0,0.0,8.0,22.0,31.0,905.0,234.0,618.0,53.0,Non-New York City
Niagara,Niagara County State Police,2013,12.0,208.0,13.0,0.0,3.0,6.0,4.0,195.0,18.0,171.0,6.0,Non-New York City
Niagara,Niagara Falls City PD,2013,12.0,3393.0,584.0,3.0,12.0,166.0,403.0,2809.0,746.0,1949.0,114.0,Non-New York City
Niagara,Niagara Town PD,2013,12.0,507.0,13.0,0.0,0.0,2.0,11.0,494.0,48.0,432.0,14.0,Non-New York City
Niagara,North Tonawanda City PD,2013,12.0,628.0,41.0,1.0,8.0,17.0,15.0,587.0,114.0,455.0,18.0,Non-New York City
Niagara,Youngstown Vg PD,2013,12.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,Non-New York City
Oneida,Boonville Vg PD,2013,12.0,20.0,1.0,0.0,0.0,0.0,1.0,19.0,7.0,12.0,0.0,Non-New York City
Oneida,Camden Vg PD,2013,12.0,51.0,5.0,0.0,0.0,0.0,5.0,46.0,4.0,42.0,0.0,Non-New York City
Oneida,County Total,2013,,5990.0,537.0,13.0,45.0,136.0,343.0,5453.0,1056.0,4228.0,169.0,Non-New York City
Oneida,Kirkland Town PD,2013,12.0,103.0,0.0,0.0,0.0,0.0,0.0,103.0,21.0,81.0,1.0,Non-New York City
Oneida,New Hartford Town and Vg PD,2013,12.0,826.0,13.0,0.0,1.0,3.0,9.0,813.0,74.0,734.0,5.0,Non-New York City
Oneida,New York Mills Vg PD,2013,12.0,66.0,2.0,0.0,0.0,0.0,2.0,64.0,16.0,47.0,1.0,Non-New York City
Oneida,Oneida County Park PD,2013,12.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,Non-New York City
Oneida,Oneida County Sheriff,2013,12.0,471.0,40.0,1.0,7.0,4.0,28.0,431.0,130.0,291.0,10.0,Non-New York City
Oneida,Oneida County State Police,2013,12.0,632.0,56.0,1.0,10.0,2.0,43.0,576.0,145.0,401.0,30.0,Non-New York City
Oneida,Oriskany Vg PD,2013,12.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,0.0,Non-New York City
Oneida,Rome City PD,2013,12.0,709.0,47.0,4.0,0.0,23.0,20.0,662.0,157.0,470.0,35.0,Non-New York City
Oneida,Sherrill City PD,2013,12.0,41.0,4.0,0.0,0.0,0.0,4.0,37.0,14.0,23.0,0.0,Non-New York City
Oneida,SUNY Police - Polytechnic Institute,2013,12.0,16.0,1.0,0.0,0.0,0.0,1.0,15.0,1.0,14.0,0.0,Non-New York City
Oneida,Utica City PD,2013,12.0,2890.0,361.0,7.0,27.0,102.0,225.0,2529.0,449.0,1998.0,82.0,Non-New York City
Oneida,Vernon Vg PD,2013,12.0,23.0,2.0,0.0,0.0,1.0,1.0,21.0,4.0,17.0,0.0,Non-New York City
Oneida,Whitesboro Vg PD,2013,12.0,40.0,4.0,0.0,0.0,0.0,4.0,36.0,14.0,21.0,1.0,Non-New York City
Oneida,Whitestown Town PD,2013,12.0,77.0,0.0,0.0,0.0,0.0,0.0,77.0,13.0,61.0,3.0,Non-New York City
Oneida,Yorkville Vg PD,2013,3.0,10.0,1.0,0.0,0.0,1.0,0.0,9.0,4.0,4.0,1.0,Non-New York City
Onondaga,Baldwinsville Vg PD,2013,12.0,93.0,5.0,0.0,0.0,1.0,4.0,88.0,10.0,77.0,1.0,Non-New York City
Onondaga,Camillus Town and Vg PD,2013,12.0,362.0,14.0,0.0,1.0,0.0,13.0,348.0,36.0,307.0,5.0,Non-New York City
Onondaga,Cicero Town PD,2013,12.0,452.0,12.0,0.0,0.0,2.0,10.0,440.0,45.0,393.0,2.0,Non-New York City
Onondaga,County Total,2013,,13987.0,1491.0,25.0,104.0,469.0,893.0,12496.0,2642.0,9312.0,542.0,Non-New York City
Onondaga,DeWitt Town PD,2013,12.0,735.0,20.0,0.0,0.0,10.0,10.0,715.0,85.0,618.0,12.0,Non-New York City
Onondaga,East Syracuse Vg PD,2013,12.0,155.0,8.0,0.0,0.0,4.0,4.0,147.0,19.0,121.0,7.0,Non-New York City
Onondaga,Geddes Town PD,2013,12.0,258.0,7.0,0.0,0.0,2.0,5.0,251.0,21.0,222.0,8.0,Non-New York City
Onondaga,Jordan Vg PD,2013,12.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,Non-New York City
Onondaga,Liverpool Vg PD,2013,12.0,48.0,2.0,0.0,0.0,1.0,1.0,46.0,6.0,39.0,1.0,Non-New York City
Onondaga,Manlius Town PD,2013,12.0,420.0,18.0,0.0,0.0,4.0,14.0,402.0,56.0,343.0,3.0,Non-New York City
Onondaga,Marcellus Vg PD,2013,12.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,11.0,0.0,Non-New York City
Onondaga,North Syracuse Vg PD,2013,12.0,121.0,10.0,0.0,0.0,0.0,10.0,111.0,14.0,94.0,3.0,Non-New York City
Onondaga,Onondaga County Park PD,2013,12.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,Non-New York City
Onondaga,Onondaga County Park Rangers,2013,12.0,64.0,0.0,0.0,0.0,0.0,0.0,64.0,4.0,60.0,0.0,Non-New York City
Onondaga,Onondaga County Sheriff,2013,12.0,2448.0,146.0,3.0,18.0,32.0,93.0,2302.0,386.0,1851.0,65.0,Non-New York City
Onondaga,Onondaga County State Police,2013,12.0,783.0,34.0,1.0,10.0,6.0,17.0,749.0,135.0,579.0,35.0,Non-New York City
Onondaga,Skaneateles Vg PD,2013,12.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,0.0,Non-New York City
Onondaga,Solvay Vg PD,2013,12.0,205.0,19.0,0.0,0.0,6.0,13.0,186.0,38.0,142.0,6.0,Non-New York City
Onondaga,SUNY Police - Environmental Science,2013,12.0,22.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0,0.0,Non-New York City
Onondaga,SUNY Police - Upstate Medical,2013,12.0,119.0,3.0,0.0,0.0,1.0,2.0,116.0,2.0,114.0,0.0,Non-New York City
Onondaga,Syracuse City PD,2013,12.0,7665.0,1192.0,21.0,75.0,400.0,696.0,6473.0,1781.0,4298.0,394.0,Non-New York City
Ontario,Canandaigua City PD,2013,12.0,349.0,29.0,0.0,7.0,9.0,13.0,320.0,55.0,255.0,10.0,Non-New York City
Ontario,County Total,2013,,2096.0,122.0,1.0,20.0,31.0,70.0,1974.0,388.0,1549.0,37.0,Non-New York City
Ontario,Geneva City PD,2013,12.0,371.0,28.0,1.0,4.0,5.0,18.0,343.0,65.0,275.0,3.0,Non-New York City
Ontario,Ontario County Park PD,2013,12.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,Non-New York City
Ontario,Ontario County Sheriff,2013,12.0,1130.0,54.0,0.0,8.0,16.0,30.0,1076.0,225.0,829.0,22.0,Non-New York City
Ontario,Ontario County State Police,2013,12.0,222.0,10.0,0.0,1.0,1.0,8.0,212.0,40.0,170.0,2.0,Non-New York City
Ontario,Phelps Vg PD,2013,11.0,22.0,1.0,0.0,0.0,0.0,1.0,21.0,3.0,18.0,0.0,Non-New York City
Orange,Blooming Grove Town PD,2013,12.0,113.0,9.0,0.0,1.0,1.0,7.0,104.0,21.0,76.0,7.0,Non-New York City
Orange,Chester Town PD,2013,12.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,9.0,15.0,0.0,Non-New York City
Orange,Chester Vg PD,2013,12.0,98.0,6.0,0.0,0.0,4.0,2.0,92.0,14.0,78.0,0.0,Non-New York City
Orange,Cornwall Town PD,2013,12.0,43.0,1.0,0.0,0.0,0.0,1.0,42.0,10.0,32.0,0.0,Non-New York City
Orange,Cornwall-on-Hudson Vg PD,2013,12.0,24.0,2.0,0.0,0.0,0.0,2.0,22.0,8.0,14.0,0.0,Non-New York City
Orange,County Total,2013,,8590.0,868.0,12.0,74.0,277.0,505.0,7722.0,1195.0,6310.0,217.0,Non-New York City
Orange,Crawford Town PD,2013,12.0,122.0,11.0,0.0,0.0,2.0,9.0,111.0,16.0,95.0,0.0,Non-New York City
Orange,Deerpark Town PD,2013,12.0,159.0,7.0,0.0,2.0,2.0,3.0,152.0,52.0,100.0,0.0,Non-New York City
Orange,Florida Vg PD,2013,12.0,44.0,0.0,0.0,0.0,0.0,0.0,44.0,5.0,39.0,0.0,Non-New York City
Orange,Goshen Town PD,2013,12.0,63.0,1.0,0.0,0.0,0.0,1.0,62.0,7.0,52.0,3.0,Non-New York City
Orange,Goshen Vg PD,2013,12.0,66.0,2.0,0.0,1.0,1.0,0.0,64.0,2.0,62.0,0.0,Non-New York City
Orange,Greenwood Lake Vg PD,2013,12.0,23.0,2.0,0.0,0.0,0.0,2.0,21.0,3.0,16.0,2.0,Non-New York City
Orange,Harriman Vg PD,2013,12.0,15.0,2.0,0.0,0.0,0.0,2.0,13.0,3.0,10.0,0.0,Non-New York City
Orange,Highland Falls Vg PD,2013,12.0,42.0,3.0,0.0,0.0,0.0,3.0,39.0,8.0,31.0,0.0,Non-New York City
Orange,Highlands Town PD,2013,12.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,0.0,Non-New York City
Orange,Maybrook Vg PD,2013,12.0,17.0,2.0,0.0,0.0,1.0,1.0,15.0,3.0,10.0,2.0,Non-New York City
Orange,Middletown City PD,2013,12.0,966.0,114.0,1.0,6.0,47.0,60.0,852.0,136.0,683.0,33.0,Non-New York City
Orange,Monroe Vg PD,2013,12.0,151.0,14.0,0.0,2.0,5.0,7.0,137.0,16.0,118.0,3.0,Non-New York City
Orange,Montgomery Town PD,2013,12.0,120.0,6.0,0.0,2.0,1.0,3.0,114.0,22.0,91.0,1.0,Non-New York City
Orange,Montgomery Vg PD,2013,12.0,47.0,2.0,0.0,0.0,0.0,2.0,45.0,3.0,42.0,0.0,Non-New York City
Orange,Mount Hope Town PD,2013,12.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0,6.0,25.0,1.0,Non-New York City
Orange,New Windsor Town PD,2013,12.0,502.0,31.0,0.0,1.0,8.0,22.0,471.0,65.0,394.0,12.0,Non-New York City
Orange,Newburgh City PD,2013,12.0,1475.0,435.0,5.0,21.0,150.0,259.0,1040.0,304.0,673.0,63.0,Non-New York City
Orange,Newburgh Town PD,2013,12.0,1391.0,38.0,0.0,5.0,15.0,18.0,1353.0,143.0,1182.0,28.0,Non-New York City
Orange,Orange County MTA,2013,12.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,Non-New York City
Orange,Orange County Park PD,2013,12.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,Non-New York City
Orange,Orange County Sheriff,2013,12.0,16.0,9.0,0.0,0.0,0.0,9.0,7.0,0.0,7.0,0.0,Non-New York City
Orange,Orange County State Police,2013,12.0,963.0,79.0,4.0,24.0,15.0,36.0,884.0,112.0,754.0,18.0,Non-New York City
Orange,Port Jervis City PD,2013,12.0,299.0,15.0,1.0,3.0,3.0,8.0,284.0,67.0,214.0,3.0,Non-New York City
Orange,Walden Vg PD,2013,12.0,161.0,18.0,1.0,2.0,1.0,14.0,143.0,12.0,126.0,5.0,Non-New York City
Orange,Wallkill Town PD,2013,12.0,807.0,40.0,0.0,3.0,16.0,21.0,767.0,91.0,650.0,26.0,Non-New York City
Orange,Warwick Town PD,2013,12.0,175.0,14.0,0.0,1.0,2.0,11.0,161.0,40.0,117.0,4.0,Non-New York City
Orange,Washingtonville Vg PD,2013,12.0,60.0,2.0,0.0,0.0,1.0,1.0,58.0,5.0,51.0,2.0,Non-New York City
Orange,Woodbury Town PD,2013,12.0,551.0,3.0,0.0,0.0,2.0,1.0,548.0,9.0,535.0,4.0,Non-New York City
Orleans,Albion Vg PD,2013,12.0,245.0,23.0,0.0,3.0,4.0,16.0,222.0,52.0,166.0,4.0,Non-New York City
Orleans,County Total,2013,,747.0,59.0,1.0,6.0,8.0,44.0,688.0,196.0,468.0,24.0,Non-New York City
Orleans,Holley Vg PD,2013,12.0,42.0,3.0,0.0,0.0,0.0,3.0,39.0,8.0,28.0,3.0,Non-New York City
Orleans,Medina Vg PD,2013,12.0,152.0,13.0,0.0,1.0,3.0,9.0,139.0,37.0,100.0,2.0,Non-New York City
Orleans,Orleans County Park PD,2013,12.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,Non-New York City
Orleans,Orleans County Sheriff,2013,12.0,253.0,13.0,1.0,1.0,1.0,10.0,240.0,84.0,144.0,12.0,Non-New York City
Orleans,Orleans County State Police,2013,12.0,52.0,7.0,0.0,1.0,0.0,6.0,45.0,15.0,27.0,3.0,Non-New York City
Oswego,Central Square Vg PD,2013,12.0,56.0,3.0,0.0,0.0,2.0,1.0,53.0,6.0,45.0,2.0,Non-New York City
Oswego,County Total,2013,,2678.0,158.0,2.0,15.0,29.0,112.0,2520.0,521.0,1919.0,80.0,Non-New York City
Oswego,Fulton City PD,2013,12.0,487.0,24.0,0.0,3.0,7.0,14.0,463.0,81.0,376.0,6.0,Non-New York City
Oswego,Oswego City PD,2013,12.0,691.0,55.0,1.0,3.0,13.0,38.0,636.0,85.0,537.0,14.0,Non-New York City
Oswego,Oswego County Park PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Non-New York City
Oswego,Oswego County Sheriff,2013,12.0,459.0,35.0,1.0,1.0,2.0,31.0,424.0,99.0,305.0,20.0,Non-New York City
Oswego,Oswego County State Police,2013,12.0,728.0,35.0,0.0,8.0,4.0,23.0,693.0,196.0,462.0,35.0,Non-New York City
Oswego,Phoenix Vg PD,2013,12.0,45.0,4.0,0.0,0.0,1.0,3.0,41.0,2.0,39.0,0.0,Non-New York City
Oswego,Pulaski Vg PD,2013,12.0,58.0,1.0,0.0,0.0,0.0,1.0,57.0,12.0,44.0,1.0,Non-New York City
Oswego,SUNY Police - Oswego,2013,12.0,153.0,1.0,0.0,0.0,0.0,1.0,152.0,39.0,111.0,2.0,Non-New York City
